['AHAA66048', '安徽国胜大药房连锁有限公司武里山路店', '安徽省合肥市新站区物流大道与天柱山路交口中环东方名景23幢2-商06、07号\n', '31.89982999999999,117.32181999999999']
['AHAA66794', '安徽国胜大药房连锁有限公司蜀峰路店', '合肥市蜀山区稻香路1088号香山丽舍1-甲幢101室\n', '31.85950000000001,117.16679']
['AHAA66049', '安徽国胜大药房连锁有限公司禹洲天境店', '安徽省合肥市肥西县桃花镇石笋路与棋石路交口禹洲华侨城幼儿园1商04室\n', '31.79857,117.20391']
['AHAA66282', '安徽国胜大药房连锁有限公司紫荆广场店', '合肥市蜀山区潜山路与史河路交口辰龙紫荆广场103号\n', '31.860989999999997,117.22987']
['AHAA65831', '安徽国胜大药房连锁有限公司新华学府店', '合肥市蜀山区潜山路318号新华学府春天22幢商业125室\n', '31.83771000000001,117.23527999999999']
['AHAA65703', '安徽国胜大药房连锁有限公司瑞锦苑店', '合肥市瑶海区龙岗开发区吴敬梓路与明皇路交口\n', '31.884106,117.379445']
['AHAA66046', '安徽国胜大药房连锁有限公司高刘路店', '合肥市蜀山区青阳北路459号龙居山庄玉龙居1幢126室\n', '31.86675,117.2404']
['AHAA65146', '安徽国胜大药房连锁有限公司大铺头店', '合肥市蜀山区荷花路北6幢1号\n', '31.85382000000002,117.18270000000001']
['AHAA64005', '安徽国胜大药房连锁有限公司颖河路店', '安徽省合肥市新站区当涂北路格兰云天花园32幢商111号\n', '31.89332,117.34012']
['AHAA63994', '安徽国胜大药房连锁有限公司临湖店', '安徽省合肥市经济技术开发区临湖社区23#楼109号\n', '31.70956,117.24577']
['AHAA63986', '安徽国胜大药房连锁有限公司东湖山庄店', '合肥市瑶海区定远路国轩新苑小区4幢101号\n', '31.87407,117.32998']
['AHAA63998', '安徽国胜大药房连锁有限公司泉北公寓店', '安徽省合肥市瑶海区临泉路泉北公寓1幢105室\n', '31.885720000000024,117.30251999999997']
['AHAA64003', '安徽国胜药房连锁有限公司观澜华庭店', '安徽省合肥市经济技术开发区紫云路观澜华庭华联超市内负一层门面\n', '31.741395,117.27061']
['AHAA63992', '安徽国胜大药房连锁有限公司金鸟花园店', '安徽省合肥市庐阳区阜阳路465号金鸟花园14幢103室\n', '31.887359999999994,117.28782']
['AHAA63985', '安徽国胜大药房连锁有限公司稻香路店', '合肥市庐阳区宿州路与五河路交汇处阳光尚景苑2号楼103、104号门面\n', '31.87664,117.29254']
['AHAA63997', '安徽国胜大药房连锁有限公司明珠路店', '安徽省合肥市高新区柏堰科技园明珠路格力电器8#宿舍楼门面\n', '31.854964000000013,117.26231300000002']
['AHAA64001', '安徽国胜大药房连锁有限公司望湖南苑店', '安徽省合肥市包河区望湖北路望湖南苑13号101门面\n', '31.81034999999999,117.28976999999999']
['AHAA63988', '安徽国胜大药房连锁有限公司国轩新苑店', '安徽省合肥市庐阳区蒙城路79号商办楼\n', '31.867810999999996,117.27769599999999']
['AHAA63996', '安徽国胜大药房连锁有限公司米兰花园店', '安徽省合肥市经济技术开发区紫云路与桃源路交叉口米兰阳光尚130号\n', '31.74708,117.21004']
['AHAA63982', '安徽国胜大药房连锁有限公司滨湖新区五店', '合肥市包河区滨湖新区万泉河路中段滨湖康园一期综合楼\n', '31.74875,117.3049']
